Comparación 1 a 1 de tokens de la colección Vaswani:
Stems iguales: 7128 | Stems diferentes: 5061
------------------------------------------------------------------------------------------
Token                     Porter               Lancaster           
------------------------------------------------------------------------------------------
a                         a                    a                   
aa                        aa                   aa                  
aachen                    aachen               aach                
aad                       aad                  aad                 
aan                       aan                  aan                 
ab                        ab                   ab                  
abac                      abac                 abac                
abacs                     abac                 abac                
abandoned                 abandon              abandon             
abbreviated               abbrevi              abbrevy             
abbreviation              abbrevi              abbrevy             
abd                       abd                  abd                 
abel                      abel                 abel                
abeles                    abel                 abel                
aberration                aberr                aber                
aberrations               aberr                aber                
abers                     aber                 ab                  
ability                   abil                 abl                 
abinger                   abing                ab                  
ablation                  ablat                abl                 
able                      abl                  abl                 
abnormal                  abnorm               abnorm              
abnormalities             abnorm               abnorm              
abnormality               abnorm               abnorm              
abnormally                abnorm               abnorm              
aboard                    aboard               aboard              
abombs                    abomb                abomb               
about                     about                about               
above                     abov                 abov                
abraded                   abrad                abrad               
abrading                  abrad                abrad               
abraham                   abraham              abraham             
abridged                  abridg               abridg              
abrupt                    abrupt               abrupt              
abruptly                  abruptli             abrupt              
abscissa                  abscissa             absciss             
abscissae                 abscissa             abscissa            
absence                   absenc               abs                 
absent                    absent               abs                 
absolute                  absolut              absolv              
absolutely                absolut              absolv              
absorb                    absorb               absorb              
absorbable                absorb               absorb              
absorbed                  absorb               absorb              
absorbent                 absorb               absorb              
absorber                  absorb               absorb              
absorbers                 absorb               absorb              
absorbing                 absorb               absorb              
absorbs                   absorb               absorb              
absorption                absorpt              absorb              
absorptions               absorpt              absorb              
absorptivity              absorpt              absorb              
abstract                  abstract             abstract            
abstracted                abstract             abstract            
abstracts                 abstract             abstract            
abu                       abu                  abu                 
abundance                 abund                abund               
abundances                abund                abund               
abundant                  abund                abund               
ac                        ac                   ac                  
academy                   academi              academy             
accelerated               acceler              accel               
accelerates               acceler              accel               
accelerating              acceler              accel               
acceleration              acceler              accel               
accelerations             acceler              accel               
accelerator               acceler              accel               
accelerators              acceler              accel               
accelerometer             acceleromet          acceleromet         
accentuated               accentu              accentu             
accept                    accept               acceiv              
acceptable                accept               acceiv              
acceptance                accept               acceiv              
accepted                  accept               acceiv              
accepting                 accept               acceiv              
acceptor                  acceptor             acceiv              
accepts                   accept               acceiv              
access                    access               access              
accessibility             access               access              
accessible                access               access              
accessories               accessori            access              
accidentally              accident             accid               
accommodated              accommod             accommod            
accommodating             accommod             accommod            
accomodate                accomod              accomod             
accompanied               accompani            accompany           
accompanies               accompani            accompany           
accompany                 accompani            accompany           
accompanying              accompani            accompany           
accomplished              accomplish           accompl             
accord                    accord               accord              
accordance                accord               accord              
according                 accord               accord              
accordingly               accordingli          accord              
account                   account              account             
accounted                 account              account             
accounting                account              account             
accounts                  account              account             
accretion                 accret               accret              
accross                   accross              accross             
accumulated               accumul              accum               
accumulates               accumul              accum               
accumulating              accumul              accum               
accumulation              accumul              accum               
accumulations             accumul              accum               
accumulator               accumul              accum               
accumulators              accumul              accum               
accuracy                  accuraci             acc                 
accurate                  accur                acc                 
accurately                accur                acc                 
ace                       ace                  ac                  
acetaldehyde              acetaldehyd          acetaldehyd         
acetone                   aceton               aceton              
achievable                achiev               achiev              
achieve                   achiev               achiev              
achieved                  achiev               achiev              
achievements              achiev               achiev              
achieves                  achiev               achiev              
achieving                 achiev               achiev              
achimota                  achimota             achimot             
acid                      acid                 acid                
acknowledged              acknowledg           acknowledg          
acm                       acm                  acm                 
acoustic                  acoust               acoust              
acoustical                acoust               acoust              
acoustically              acoust               acoust              
acoustics                 acoust               acoust              
acousto                   acousto              acousto             
acoustoelectric           acoustoelectr        acoustoelect        
acquire                   acquir               acquir              
acquired                  acquir               acquir              
acquiring                 acquir               acquir              
across                    across               across              
act                       act                  act                 
acting                    act                  act                 
action                    action               act                 
actions                   action               act                 
activated                 activ                act                 
activation                activ                act                 
activator                 activ                act                 
activators                activ                act                 
active                    activ                act                 
activities                activ                act                 
activity                  activ                act                 
acts                      act                  act                 
actual                    actual               act                 
actually                  actual               act                 
actuate                   actuat               actu                
actuated                  actuat               actu                
actuating                 actuat               actu                
acute                     acut                 acut                
ad                        ad                   ad                  
ada                       ada                  ad                  
adams                     adam                 adam                
adaptability              adapt                adapt               
adaptable                 adapt                adapt               
adaptation                adapt                adapt               
adaptations               adapt                adapt               
adapted                   adapt                adapt               
adapter                   adapt                adapt               
adapting                  adapt                adapt               
adaptive                  adapt                adapt               
adcock                    adcock               adcock              
add                       add                  ad                  
addam                     addam                addam               
added                     ad                   ad                  
addendum                  addendum             addend              
adder                     adder                ad                  
adders                    adder                ad                  
adding                    ad                   ad                  
addition                  addit                addit               
additional                addit                addit               
additions                 addit                addit               
additives                 addit                addit               
additivity                addit                addit               
address                   address              address             
adds                      add                  ad                  
adduced                   adduc                adduc               
ade                       ade                  ad                  
adelaide                  adelaid              adelaid             
adelie                    adeli                ad                  
adequate                  adequ                adequ               
adequately                adequ                adequ               
adhesion                  adhes                adher               
adhesive                  adhes                adher               
adiabatic                 adiabat              adiab               
adjacent                  adjac                adjac               
adjoining                 adjoin               adjoin              
adjoint                   adjoint              adjoint             
adjustabl                 adjustabl            adjust              
adjustable                adjust               adjust              
adjusted                  adjust               adjust              
adjusting                 adjust               adjust              
adjustment                adjust               adjust              
adjustments               adjust               adjust              
adler                     adler                adl                 
administration            administr            admin               
admiraal                  admira               admira              
admirable                 admir                admir               
admirably                 admir                admir               
admittance                admitt               admit               
admittances               admitt               admit               
admixture                 admixtur             admixt              
adopt                     adopt                adopt               
adopted                   adopt                adopt               
adopting                  adopt                adopt               
adoption                  adopt                adopt               
adsorbed                  adsorb               adsorb              
adsorbing                 adsorb               adsorb              
adsorption                adsorpt              adsorb              
advance                   advanc               adv                 
advanced                  advanc               adv                 
advancement               advanc               adv                 
advances                  advanc               adv                 
advancing                 advanc               adv                 
advanect                  advanect             advanect            
advantage                 advantag             adv                 
advantageous              advantag             adv                 
advantages                advantag             adv                 
adverse                   advers               advers              
adversely                 advers               advers              
advice                    advic                adv                 
advisory                  advisori             adv                 
advocated                 advoc                advoc               
ae                        ae                   ae                  
aee                       aee                  ae                  
aerial                    aerial               aer                 
aerials                   aerial               aer                 
aeriel                    aeriel               aeriel              
aerobee                   aerobe               aerob               
aerodynamic               aerodynam            aerodynam           
aerolene                  aerolen              aerol               
aerology                  aerolog              aerolog             
aeromagnetic              aeromagnet           aeromagnet          
aeromagnetometer          aeromagnetomet       aeromagnetomet      
aeronautical              aeronaut             aeronaut            
aeronautics               aeronaut             aeronaut            
aeronomic                 aeronom              aeronom             
aeronomy                  aeronomi             aeronom             
aerosol                   aerosol              aerosol             
aether                    aether               aeth                
af                        af                   af                  
afbmd                     afbmd                afbmd               
afc                       afc                  afc                 
affect                    affect               affect              
affected                  affect               affect              
affecting                 affect               affect              
affects                   affect               affect              
affinity                  affin                affin               
afford                    afford               afford              
afforded                  afford               afford              
affording                 afford               afford              
affords                   afford               afford              
afghanistan               afghanistan          afgh                
africa                    africa               afric               
after                     after                aft                 
afterglow                 afterglow            afterglow           
afterglowing              afterglow            afterglow           
afterglows                afterglow            afterglow           
afternoon                 afternoon            afternoon           
afternoons                afternoon            afternoon           
ag                        ag                   ag                  
again                     again                again               
against                   against              against             
agassiz                   agassiz              agass               
agc                       agc                  agc                 
age                       age                  ag                  
agencies                  agenc                ag                  
agency                    agenc                ag                  
agent                     agent                ag                  
agents                    agent                ag                  
aggregates                aggreg               aggreg              
aging                     age                  ag                  
agitation                 agit                 agit                
agitational               agit                 agit                
agl                       agl                  agl                 
agree                     agre                 agr                 
agreed                    agre                 agree               
agreeing                  agre                 agr                 
agreement                 agreement            agr                 
agrees                    agre                 agr                 
agrimeter                 agrimet              agrimet             
aguilar                   aguilar              aguil               
agwac                     agwac                agwac               
ahalwo                    ahalwo               ahalwo              
ahead                     ahead                ahead               
ahmedabad                 ahmedabad            ahmedabad           
ai                        ai                   ai                  
aid                       aid                  aid                 
aids                      aid                  aid                 
aiee                      aiee                 ai                  
aim                       aim                  aim                 
aimed                     aim                  aim                 
air                       air                  air                 
airboard                  airboard             airboard            
airborne                  airborn              airborn             
aircraft                  aircraft             aircraft            
aircrew                   aircrew              aircrew             
aires                     air                  air                 
airflow                   airflow              airflow             
airglow                   airglow              airglow             
airliners                 airlin               airlin              
airy                      airi                 airy                
airys                     airi                 airy                
akgun                     akgun                akgun               
akita                     akita                akit                
al                        al                   al                  
alarm                     alarm                alarm               
alaska                    alaska               alask               
albedo                    albedo               albedo              
albedos                   albedo               albedo              
albert                    albert               albert              
alcohol                   alcohol              alcohol             
alent                     alent                al                  
alert                     alert                alert               
alexanderson              alexanderson         alexanderson        
alfven                    alfven               alfv                
alfvens                   alfven               alfv                
algebra                   algebra              algebr              
algebraic                 algebra              algebra             
algebraically             algebra              algebra             
algorithm                 algorithm            algorithm           
alibag                    alibag               alib                
aligned                   align                align               
aligning                  align                align               
alignment                 align                align               
aliphatic                 aliphat              aliph               
alkali                    alkali               alkal               
alkaline                  alkalin              alkalin             
all                       all                  al                  
allen                     allen                al                  
alleviated                allevi               allevy              
allied                    alli                 al                  
allotted                  allot                allot               
allow                     allow                allow               
allowable                 allow                allow               
allowance                 allow                allow               
allowances                allow                allow               
allowed                   allow                allow               
allowing                  allow                allow               
allows                    allow                allow               
alloy                     alloy                alloy               
alloyed                   alloy                alloy               
alloying                  alloy                alloy               
alloys                    alloy                alloy               
almost                    almost               almost              
aloft                     aloft                aloft               
alon                      alon                 alon                
alone                     alon                 alon                
along                     along                along               
alpha                     alpha                alph                
alphabetic                alphabet             alphabet            
alphanumeric              alphanumer           alphanum            
alphen                    alphen               alph                
alps                      alp                  alp                 
already                   alreadi              already             
als                       al                   al                  
alsf                      alsf                 alsf                
also                      also                 also                
altazimuth                altazimuth           altazimu            
alter                     alter                alt                 
alteration                alter                alt                 
altered                   alter                alt                 
altering                  alter                alt                 
alternate                 altern               altern              
alternately               altern               altern              
alternates                altern               altern              
alternating               altern               altern              
alternation               altern               altern              
alternations              altern               altern              
alternative               altern               altern              
alternatively             altern               altern              
alternatives              altern               altern              
alternator                altern               altern              
alters                    alter                alt                 
although                  although             although            
altitude                  altitud              altitud             
altitudes                 altitud              altitud             
alumina                   alumina              alumin              
aluminium                 aluminium            alumin              
aluminum                  aluminum             alumin              
alvens                    alven                alv                 
always                    alway                alway               
am                        am                   am                  
amateur                   amateur              am                  
amateurs                  amateur              am                  
amberley                  amberley             amberley            
ambient                   ambient              amby                
ambiguities               ambigu               ambigu              
ambiguity                 ambigu               ambigu              
ambiguous                 ambigu               ambigu              
ambipolar                 ambipolar            ambipol             
amd                       amd                  amd                 
amenable                  amen                 am                  
amendable                 amend                amend               
amental                   ament                am                  
amer                      amer                 am                  
america                   america              americ              
american                  american             am                  
amfm                      amfm                 amfm                
amine                     amin                 amin                
amined                    amin                 amin                
ammonia                   ammonia              ammon               
amode                     amod                 amod                
among                     among                among               
amongst                   amongst              amongst             
amorphous                 amorph               amorph              
amount                    amount               amount              
amounting                 amount               amount              
amounts                   amount               amount              
ampere                    amper                amp                 
amperes                   amper                amp                 
amplidyne                 amplidyn             amplidyn            
amplifer                  amplif               ampl                
amplifers                 amplif               ampl                
amplification             amplif               ampl                
amplifications            amplif               ampl                
amplified                 amplifi              ampl                
amplifier                 amplifi              ampl                
amplifiers                amplifi              ampl                
amplify                   amplifi              ampl                
amplifying                amplifi              ampl                
amplitude                 amplitud             amplitud            
amplitudes                amplitud             amplitud            
amsed                     ams                  ams                 
amsterdam                 amsterdam            amsterdam           
amu                       amu                  amu                 
an                        an                   an                  
analog                    analog               analog              
analogies                 analog               analog              
analogous                 analog               analog              
analogs                   analog               analog              
analogue                  analogu              analog              
analogues                 analogu              analog              
analogy                   analog               analog              
analyse                   analys               analys              
analysed                  analys               analys              
analyser                  analys               analys              
analysers                 analys               analys              
analyses                  analys               analys              
analysing                 analys               analys              
analysis                  analysi              analys              
analytic                  analyt               analys              
analytical                analyt               analys              
analytically              analyt               analys              
analyzed                  analyz               analys              
analyzer                  analyz               analys              
analyzers                 analyz               analys              
analyzing                 analyz               analys              
anasotropic               anasotrop            anasotrop           
anastigmatic              anastigmat           anastigm            
anc                       anc                  ant                 
anchor                    anchor               anch                
ancient                   ancient              ant                 
ancillary                 ancillari            ancil               
and                       and                  and                 
anden                     anden                and                 
anderson                  anderson             anderson            
andersons                 anderson             anderson            
andrejewski               andrejewski          andrejewsk          
andrews                   andrew               andrew              
andromeda                 andromeda            andromed            
andt                      andt                 andt                
andtamms                  andtamm              andtam              
ane                       ane                  an                  
anemometer                anemomet             anemomet            
ange                      ang                  ang                 
angeles                   angel                angel               
angle                     angl                 angl                
angled                    angl                 angl                
angles                    angl                 angl                
anglo                     anglo                anglo               
angular                   angular              angul               
angularities              angular              angul               
anisometric               anisometr            anisomet            
anisotropic               anisotrop            anisotrop           
anisotropically           anisotrop            anisotrop           
anisotropies              anisotropi           anisotrop           
anisotropy                anisotropi           anisotrop           
annals                    annal                an                  
annamalainagar            annamalainagar       annamalainag        
annealing                 anneal               an                  
annihilation              annihil              annihil             
annotated                 annot                annot               
announcing                announc              annount             
annual                    annual               an                  
annually                  annual               an                  
annular                   annular              annul               
annulled                  annul                annul               
annulus                   annulu               annul               
annum                     annum                ann                 
anode                     anod                 anod                
anodes                    anod                 anod                
anodized                  anod                 anod                
anomalies                 anomali              anoma               
anomalistic               anomalist            anom                
anomalous                 anomal               anom                
anomalously               anomal               anom                
anomaly                   anomali              anoma               
another                   anoth                anoth               
ans                       an                   an                  
ansatz                    ansatz               ansatz              
answer                    answer               answ                
answers                   answer               answ                
antarctic                 antarct              antarct             
antarctica                antarctica           antarctic           
antenna                   antenna              antenn              
antennas                  antenna              antenna             
anti                      anti                 ant                 
anticathodes              anticathod           anticathod          
anticipated               anticip              anticip             
anticlockwise             anticlockwis         anticlockw          
antiferro                 antiferro            antiferro           
antiferroelectricity      antiferroelectr      antiferroelect      
antiferromagnet           antiferromagnet      antiferromagnet     
antiferromagnetic         antiferromagnet      antiferromagnet     
antiferromagnetism        antiferromagnet      antiferromagnet     
antiferromagnets          antiferromagnet      antiferromagnet     
antilogarithms            antilogarithm        antilogarithm       
antimetric                antimetr             antimet             
antimetrical              antimetr             antimet             
antinodal                 antinod              antinod             
antiparallel              antiparallel         antiparallel        
antiphase                 antiphas             antiphas            
antipodal                 antipod              antipod             
antiresonance             antireson            antireson           
antiresonant              antireson            antireson           
antistatic                antistat             ant                 
antisymmetric             antisymmetr          antisymmet          
antisymmetrical           antisymmetr          antisymmet          
anxiliary                 anxiliari            anxy                
any                       ani                  any                 
anywhere                  anywher              anywh               
ao                        ao                   ao                  
