model,qid,query,rank,docno,score,title,filename
TF_IDF,1,python programming language,0,en_articles_r_o_x_ROX_Desktop_b4f8_html,9.538911778020644,"ROX Desktop - Wikipedia, the free encyclopedia",en/articles/r/o/x/ROX_Desktop_b4f8.html
TF_IDF,1,python programming language,1,en_articles_c_l_a_Class__computer_science_html,8.01700061382869,"Class (computer science) - Wikipedia, the free encyclopedia",en/articles/c/l/a/Class_(computer_science).html
TF_IDF,1,python programming language,2,en_articles_g_u_o_Guo_Youzhi_8db1_html,7.415880775130941,"Guo Youzhi - Wikipedia, the free encyclopedia",en/articles/g/u/o/Guo_Youzhi_8db1.html
TF_IDF,1,python programming language,3,en_articles_h_a_n_Hans_Moleman_c002_html,6.313163492742279,"Hans Moleman - Wikipedia, the free encyclopedia",en/articles/h/a/n/Hans_Moleman_c002.html
TF_IDF,1,python programming language,4,en_articles_l_o_u_Lout_html,6.172096632986449,"Lout - Wikipedia, the free encyclopedia",en/articles/l/o/u/Lout.html
TF_IDF,1,python programming language,5,en_articles_w_i_l_Wilpattu_National_Park_cf60_html,6.031235929847218,"Wilpattu National Park - Wikipedia, the free encyclopedia",en/articles/w/i/l/Wilpattu_National_Park_cf60.html
TF_IDF,1,python programming language,6,en_articles_w_i_n_Winter_solstice__disambiguation_html,5.902099219374533,"Winter solstice (disambiguation) - Wikipedia, the free encyclopedia",en/articles/w/i/n/Winter_solstice_(disambiguation).html
TF_IDF,1,python programming language,7,en_articles_s_i_n_SinoVision_32c9_html,5.8694948148285,"SinoVision - Wikipedia, the free encyclopedia",en/articles/s/i/n/SinoVision_32c9.html
TF_IDF,1,python programming language,8,en_articles_s_t_e_Stellarium_html,5.575249888822501,"Stellarium - Wikipedia, the free encyclopedia",en/articles/s/t/e/Stellarium.html
TF_IDF,1,python programming language,9,en_articles_j_f_i_JFin_1830_html,5.501143994210099,"JFin - Wikipedia, the free encyclopedia",en/articles/j/f/i/JFin_1830.html
TF_IDF,1,python programming language,10,en_articles_w_o_o_Woodenfish_html,5.394317345510717,"Woodenfish - Wikipedia, the free encyclopedia",en/articles/w/o/o/Woodenfish.html
