nombre_archivo,ranking_pyTerrier,ranking_propio,diferencia
"en/articles/f/u/t/Futsu,_Nagasaki_6d69.html",1,1,0
"en/articles/a/r/i/Arie,_Nagasaki_63bf.html",2,2,0
"en/articles/m/i/n/Minamishimabara,_Nagasaki_6362.html",3,3,0
en/articles/k/o/b/Kobe_Station_07b4.html,4,4,0
en/articles/c/o/s/Cosme_de_Torrès_e30a.html,5,5,0
en/articles/a/k/i/Akiko_Domoto_7e48.html,6,10,4
en/articles/b/o/m/Bombing_of_Osaka_in_World_War_II_4895.html,7,6,1
en/articles/c/a/i/Cairo_Conference_5945.html,8,46,38
"en/articles/n/a/g/Naganohara,_Gunma_49a0.html",9,22,13
en/articles/c/r/e/Crested_Ibis_93b3.html,10,43,33
"en/articles/f/u/j/Fujioka,_Tochigi_df61.html",11,24,13
en/articles/l/i/s/List_of_environmental_topics_(N)_409e.html,12,23,11
"en/articles/s/e/i/Seiwa,_Kumamoto_1671.html",13,11,2
en/articles/1/s/t/1st_Battalion_2nd_Marines_cc49.html,14,38,24
"en/articles/h/a/c/Hachikai,_Aichi_0cba.html",15,19,4
"en/articles/k/a/w/Kawauchi,_Aomori_28ae.html",16,21,5
"en/articles/n/a/m/Namikata,_Ehime_2212.html",17,12,5
"en/articles/t/o/b/Tobata-ku,_Kitakyūshū_af95.html",18,51,33
"en/articles/a/s/a/Asao-ku,_Kawasaki_a280.html",19,51,32
"en/articles/m/i/t/Mitoyo_District,_Kagawa_ae1e.html",20,51,31
"en/articles/k/a/m/Kamikawa_(Ishikari)_District,_Hokkaidō_69ff.html",21,51,30
"en/articles/k/a/r/Kariwa_District,_Niigata_bbc7.html",22,51,29
en/articles/s/p/e/Speed_Skating_at_the_1990_Winter_Asian_Games_78de.html,23,18,5
en/articles/b/a/n/Bangladeshi-Japanese_relations_4a68.html,24,31,7
en/articles/l/i/s/List_of_sister_cities_in_Canada_d2c2.html,25,51,26
en/articles/j/a/p/Japan_at_the_1964_Winter_Olympics_e206.html,26,15,11
en/articles/k/a/d/Kadena_High_School_a5b7.html,27,51,24
en/articles/f/r/e/Freestyle_Skiing_at_the_2003_Winter_Asian_Games_155f.html,28,8,20
en/articles/m/i/h/Miho_Tanaka_b60d.html,29,13,16
en/articles/b/b/c/BBC_Global_30_dc4a.html,30,26,4
"en/articles/l/i/t/Little_Italy,_Manhattan_064e.html",31,51,20
en/articles/k/i/b/Kibi_Makibi_050c.html,32,51,19
en/articles/n/i/h/Nihon_Minka-en_defb.html,33,49,16
en/articles/t/s/u/Tsugaru_Peninsula_9ee9.html,34,40,6
en/articles/h/a/n/Hanare_Kirishitan_1cb4.html,35,34,1
en/articles/s/h/u/Shuchiin_University_5906.html,36,7,29
en/articles/t/o/k/Tokyo_University_of_Agriculture_and_Technology_c9d7.html,37,32,5
en/articles/m/i/y/Miyazaki_Sangyo-keiei_University_b8c0.html,38,9,29
en/articles/m/a/s/Masaaki_Sawanobori_4b27.html,39,27,12
en/articles/s/u/s/Susan_Saegert_2074.html,40,51,11
en/articles/s/u/m/Sumitomo_Rubber_Industries_6190.html,41,51,10
en/articles/j/a/p/Japanese_whiting.html,42,51,9
en/articles/s/u/p/Supporters_of_FC_Barcelona_e543.html,43,51,8
en/articles/c/a/m/Camellia_sasanqua.html,44,51,7
en/articles/f/o/r/Formosan_subterranean_termite.html,45,51,6
en/articles/c/r/i/Crime_in_Russia_0b0a.html,46,51,5
en/articles/c/h/a/Charles_Robert_Jenkins_ce81.html,47,51,4
en/articles/m/o/u/Mount_Pekerebetsu_0cf2.html,48,47,1
en/articles/m/a/k/Makoto_Kaneko_(baseball)_37c6.html,49,25,24
en/articles/b/a/t/Battle_of_Shiojiritoge_0efe.html,50,51,1
"en/articles/w/a/k/Wakayama_gubernatorial_election,_1999.html",51,14,37
en/articles/y/u/k/Yukari_Tachibana_38bc.html,51,16,35
en/articles/h/o/n/Honinbo_Hakugen_3ef1.html,51,17,34
en/articles/h/i/r/Hiroyuki_Nishiuchi_8803.html,51,20,31
en/articles/k/o/r/Korean_Army_ff97.html,51,28,23
en/articles/l/i/s/List_of_colonial_governors_in_1901.html,51,29,22
en/articles/s/i/e/Siege_of_Koriyama_3ffc.html,51,30,21
en/articles/n/e/g/Negimaki.html,51,33,18
en/articles/a/o/y/Aoyama_Plateau_Wind_Farm_ee31.html,51,35,16
en/articles/l/i/s/List_of_highways_numbered_271.html,51,36,15
en/articles/2/0/0/2007_World_Port_Tournament_6942.html,51,37,14
en/articles/ō/r/i/Ōri_Umesaka_7b6f.html,51,39,12
en/articles/f/l/y/Flying_disc_at_the_World_Games_5731.html,51,41,10
en/articles/2/0/0/2007_Tour_of_Siam_5529.html,51,42,9
en/articles/m/i/k/Mikio_Oda_c7b0.html,51,44,7
"en/articles/g/o/o/Good_Wife,_Wise_Mother_dbbe.html",51,45,6
en/articles/k/a/m/Kamatari_Fujiwara_010e.html,51,48,3
en/articles/h/o/n/Honmaru_Kaikan-mae_Station_590e.html,51,50,1
