nombre_archivo,ranking_pyTerrier,ranking_propio,diferencia
en/articles/s/u/n/Sungrebe.html,1,54,53
en/articles/m/r/2E/Mr._Bricolage_c06c.html,2,54,52
en/articles/h/u/g/Hugo_Porta_10e3.html,3,54,51
en/articles/v/e/r/Verónico_Cruz_(film)_fa73.html,4,54,50
en/articles/j/u/a/Juan_Álvarez_(historian)_f8d3.html,5,54,49
en/articles/i/n/d/Independiente_de_La_Rioja_d4de.html,6,54,48
en/articles/2/0/0/2000_Volleyball_America's_Cup_d018.html,7,54,47
en/articles/e/n/r/Enrique_Santiago_Petracchi_510c.html,8,54,46
en/articles/p/i/e/Pierre_Daye_169e.html,9,50,41
en/articles/e/z/e/Ezequiel_Paulón_5a9f.html,10,54,44
en/articles/e/l/o/Eloy_Fariña_Núñez_c497.html,11,54,43
en/articles/f/l/a/Flags_of_active_autonomist_and_secessionist_movements.html,12,54,42
"en/articles/c/h/a/Chacabuco,_Buenos_Aires_db6b.html",13,54,41
en/articles/u/n/i/University_of_Belgrano_dc54.html,14,54,40
en/articles/h/y/d/Hydrocotyle_bonariensis.html,15,54,39
en/articles/c/o/m/Companion_planting.html,16,54,38
en/articles/j/u/l/Julio_Chávez_ac6e.html,17,54,37
en/articles/b/e/l/Belgrano_(disambiguation).html,18,54,36
en/articles/v/o/g/Vogtle_Electric_Generating_Plant_df04.html,19,54,35
en/articles/e/n/v/Environmental_effects_of_nuclear_power.html,20,54,34
en/articles/a/r/a/Arachis_villosulicarpa.html,21,54,33
en/articles/i/p/e/Ipecacuanha.html,22,54,32
en/articles/g/r/e/Grevillea_'Moonlight'_824e.html,23,54,31
en/articles/p/a/r/Paratylenchus_macrophallus.html,24,54,30
en/articles/a/n/t/Antoine_Laurent_de_Jussieu_5b0d.html,25,54,29
en/articles/b/e/e/Beekman_Native_Plant_Arboretum_3bfa.html,26,54,28
en/articles/g/r/a/Graptophyllum_ilicifolium.html,27,54,27
en/articles/c/a/c/Cacteae.html,28,54,26
en/articles/l/u/c/Lucas_Mareque_fbe0.html,29,54,25
en/articles/1/9/7/1971_European_Formula_Two_season_79ea.html,30,54,24
en/articles/w/o/r/World_Pump_Festival_1479.html,31,54,23
en/articles/g/e/o/George_Maxwell_8d58.html,32,54,22
en/articles/f/u/k/Fukushima_II_Nuclear_Power_Plant_3a9e.html,33,54,21
en/articles/v/a/l/Valley_Power_63f8.html,34,54,20
en/articles/a/n/n/Annona_reticulata.html,35,54,19
en/articles/m/a/n/Man-eating_tree.html,36,54,18
en/articles/f/o/r/Ford_River_Rouge_Complex_84fc.html,37,54,17
en/articles/s/e/n/Senecioneae.html,38,54,16
en/articles/b/e/t/Bethlehem_Steel_119e.html,39,54,15
en/articles/s/a/l/Salix_herbacea.html,40,54,14
en/articles/b/y/t/Byttneria.html,41,54,13
"en/articles/u/n/i/University_of_California,_Irvine,_Arboretum_444f.html",42,54,12
en/articles/t/r/i/Trimerotropis_infantilis.html,43,54,11
en/articles/l/i/s/List_of_Lepidoptera_that_feed_on_roses_5f9f.html,44,54,10
en/articles/m/a/r/Margherita_Sarfatti_a9c1.html,45,54,9
en/articles/j/a/t/Jatropha_curcas.html,46,54,8
en/articles/f/o/r/Ford_Motor_Company_of_New_Zealand_54af.html,47,54,7
en/articles/b/r/a/Braunsia_apiculata.html,48,54,6
en/articles/e/m/e/Emex_australis.html,49,54,5
en/articles/f/i/d/Fiddleneck.html,50,54,4
en/articles/c/a/t/Cattle_Tyrant_9707.html,51,54,3
en/articles/t/o/u/Tour_of_Somerville_689f.html,52,54,2
en/articles/g/r/e/Great_Pampa-finch_a1dd.html,53,54,1
en/articles/o/p/e/Operation_Zeppelin_7e49.html,54,1,53
en/articles/f/l/a/Flanders_War_f917.html,54,2,52
en/articles/s/o/v/Soviet–United_States_relations_5247.html,54,3,51
en/articles/f/a/i/Fair_Stood_the_Wind_for_France_962f.html,54,4,50
en/articles/g/i/n/Gino_Strada_a264.html,54,5,49
en/articles/w/a/k/Wake_Me_When_the_War_Is_Over_6986.html,54,6,48
en/articles/c/r/i/Cris_Velasco_d324.html,54,7,47
en/articles/b/o/o/Booker_T._Spicely_85b0.html,54,8,46
en/articles/h/e/r/Hermann_Otto_II_of_Limburg_Stirum_724f.html,54,9,45
en/articles/m/_/c/M_class_Minesweeper_(Germany)_fca5.html,54,10,44
en/articles/g/r/a/Gravedigger_(comics).html,54,11,43
en/articles/r/o/a/World_War_II_Combat~_Road_to_Berlin_c2f0.html,54,12,42
en/articles/c/a/i/Cairo_Conference_5945.html,54,13,41
en/articles/a/d/a/Adam_Studziński_87f1.html,54,14,40
en/articles/n/a/t/National_Association_of_Russian_Explorers_b145.html,54,15,39
en/articles/m/o/d/Modern_warfare.html,54,16,38
en/articles/l/a/n/Languages_of_Oceania_af2f.html,54,17,37
en/articles/s/e/r/Sergei_Khudyakov_c8e6.html,54,18,36
en/articles/p/a/n/Panorama_(German_wartime_newsreel)_cba4.html,54,19,35
en/articles/c/i/b/Cibi.html,54,20,34
en/articles/p/h/i/Philip_Paul_bfdb.html,54,21,33
en/articles/t/e/r/Teruhisa_Komatsu_00a9.html,54,22,32
en/articles/w/i/l/Wilfred__Chicken__Smallhorn_4bff.html,54,23,31
en/articles/e/u/r/Euryale.html,54,24,30
en/articles/r/a/n/Randall_Swingler_7b36.html,54,25,29
en/articles/i/r/a/Winter_Soldier~_Iraq_&_Afghanistan_247e.html,54,26,28
en/articles/s/t/e/Stepan_Kretov_ea42.html,54,27,27
en/articles/a/l/b/Albert_Levy_(soldier)_9746.html,54,28,26
en/articles/g/u/a/Guardian_(database).html,54,29,25
en/articles/a/r/m/Army.html,54,30,24
en/articles/1/8/t/18th_Regiment_Massachusetts_Volunteer_Infantry_3af3.html,54,31,23
en/articles/m/i/k/Mikael_Jorgensen_1052.html,54,32,22
en/articles/m/e/r/Merril_Sandoval_e3c8.html,54,33,21
en/articles/n/a/v/Navigation_Acts_345c.html,54,34,20
en/articles/s/t/u/Studholme_Hodgson_d21d.html,54,35,19
en/articles/h/i/e/Hiel_Brockway_1f0e.html,54,36,18
en/articles/j/o/o/Joost_Scholte_37d5.html,54,37,17
en/articles/1/s/t/1st_Battalion_23rd_Marines_6a26.html,54,38,16
en/articles/t/i/m/Timothée_Franchère_4447.html,54,39,15
en/articles/r/o/b/Robert_Stinnett_c7d8.html,54,40,14
en/articles/e/r/i/Eric_Goldberg_aec7.html,54,41,13
en/articles/a/l/e/Alexander_Spiridovich_7c63.html,54,42,12
en/articles/r/a/j/Rajadiraja_Chola_II_c4b5.html,54,43,11
en/articles/l/i/s/List_of_theaters_and_campaigns_of_World_War_II_628d.html,54,44,10
en/articles/c/o/a/Coat_of_arms_of_the_Polish–Lithuanian_Commonwealth_df26.html,54,45,9
en/articles/u/n/i/UNIcert_5cdf.html,54,46,8
en/articles/j/2E/_/J._W._Smith_544e.html,54,47,7
en/articles/m/e/m/Memorial_square.html,54,48,6
en/articles/k/i/n/Kingdom_of_Rwenzururu_1ebe.html,54,49,5
