nombre_archivo,ranking_pyTerrier,ranking_propio,diferencia
en/articles/r/o/x/ROX_Desktop_b4f8.html,1,4,3
en/articles/c/l/a/Class_(computer_science).html,2,8,6
en/articles/g/u/o/Guo_Youzhi_8db1.html,3,2,1
en/articles/h/a/n/Hans_Moleman_c002.html,4,51,47
en/articles/l/o/u/Lout.html,5,7,2
en/articles/w/i/l/Wilpattu_National_Park_cf60.html,6,13,7
en/articles/w/i/n/Winter_solstice_(disambiguation).html,7,11,4
en/articles/s/i/n/SinoVision_32c9.html,8,9,1
en/articles/s/t/e/Stellarium.html,9,10,1
en/articles/j/f/i/JFin_1830.html,10,1,9
en/articles/w/o/o/Woodenfish.html,11,51,40
en/articles/z/e/n/Zend_Framework_a5ef.html,12,12,0
en/articles/l/i/s/List_of_TV_shows_made_into_films_9d9b.html,13,51,38
en/articles/p/r/i/Prince_XML_03cf.html,14,19,5
en/articles/t/r/a/Trade_Descriptions_Act_1968_c986.html,15,51,36
en/articles/c/l/x/CLX_(Common_Lisp)_1911.html,16,20,4
en/articles/e/s/c/Escuela_Bella_Vista_f88e.html,17,51,34
en/articles/p/o/n/Pontius_Pilate's_wife_80f1.html,18,28,10
en/articles/m/u/r/Murrah_High_School_1c6f.html,19,51,32
en/articles/h/a/s/Haskell_Curry_f97c.html,20,18,2
en/articles/c/k/u/CKUT-FM_fe8d.html,21,51,30
en/articles/o/d/l/Odle_Middle_School_bcc5.html,22,51,29
en/articles/l/i/s/List_of_Chinese_language_schools_in_Taiwan_dd69.html,23,51,28
en/articles/l/i/s/List_of_Arrow_Dynamics_roller_coasters_ca82.html,24,47,23
en/articles/i/o/_/IO_Digital_Cable_Service_c31a.html,25,51,26
en/articles/g/r/a/Graphical_user_interface_builder.html,26,21,5
en/articles/n/a/o/Naomi_Nari_Nam_e255.html,27,51,24
en/articles/c/t/c/CTC_Media_7331.html,28,26,2
en/articles/i/n/s/Insurance_Institute_for_Highway_Safety_656d.html,29,51,22
en/articles/d/e/f/Defeasible_logic.html,30,14,16
en/articles/r/á/d/Rádio_e_Televisão_de_Portugal_a781.html,31,33,2
en/articles/m/o/n/Monad.html,32,29,3
en/articles/i/m/p/Impact.html,33,51,18
en/articles/t/h/e/The_Tennessee_Foreign_Language_Institute_e4d6.html,34,51,17
en/articles/c/n/s/CNSAD_87b1.html,35,51,16
en/articles/l/i/n/Linda_de_Mol_1ace.html,36,51,15
"en/articles/f/r/a/Framework_for_Privacy_Analysis_of_Programs,_Technologies,_and_Applications_4cc9.html",37,51,14
en/articles/m/i/c/Microtuner.html,38,51,13
en/articles/t/e/l/Telecare_(TV_Network)_7f29.html,39,46,7
en/articles/l/y/n/LynxOS_dd39.html,40,45,5
en/articles/l/i/s/List_of_schools_in_Mexico_2e1c.html,41,51,10
en/articles/b/e/h/Behavioral_Analysis_Unit_f0bc.html,42,51,9
en/articles/d/a/v/David_Munro_e903.html,43,16,27
en/articles/p/d/_/PD_adf8.html,44,51,7
en/articles/o/n/s/OnStage_2e81.html,45,23,22
en/articles/k/a/n/Kangchenjunga_(disambiguation).html,46,32,14
en/articles/t/o/y/Toyohashi_University_of_Technology_d2ea.html,47,51,4
en/articles/d/s/t/Dstarr.html,48,51,3
en/articles/v/i/s/Vision_for_Space_Exploration_eaf2.html,49,51,2
en/articles/a/p/_/AP_United_States_Government_and_Politics_fc7f.html,50,51,1
en/articles/p/l/a/PLAPACK_fb37.html,51,3,48
en/articles/p/o/r/Portable_object_(computing).html,51,5,46
en/articles/b/c/x/BCX_3407.html,51,6,45
en/articles/l/i/s/List_of_asteroids_103401–103500_2761.html,51,15,36
en/articles/l/i/s/List_of_asteroids_107601–107700_418f.html,51,17,34
en/articles/s/k/y/Skypath.html,51,22,29
en/articles/r/e/g/Regi-Stick_259a.html,51,24,27
en/articles/w/f/v/WFVX-LP_6627.html,51,25,26
en/articles/c/a/l/Calculator_spelling.html,51,27,24
en/articles/x/i/t/Xito.html,51,30,21
en/articles/w/j/t/WJTS-LP_27d9.html,51,31,20
en/articles/g/o/g/GoGo_board_8d64.html,51,34,17
en/articles/c/a/p/Capriccio.html,51,35,16
en/articles/u/n/i/Universal_Robotics_0bd1.html,51,36,15
en/articles/r/o/s/Roshan_Abbas_dfb4.html,51,37,14
en/articles/t/o/n/Tonfön_Television_b570.html,51,38,13
en/articles/k/a/t/Kathy_Sierra_ebaf.html,51,39,12
en/articles/a/b/c/ABC_In_Concert_6d5f.html,51,40,11
en/articles/p/u/s/Pushd_and_popd.html,51,41,10
en/articles/m/i/c/Microsoft_Dynamics_AX_71bb.html,51,42,9
en/articles/t/h/e/The_Great_Lake_5c36.html,51,43,8
en/articles/c/h/e/Checkin'_out_the_Ghosts_27d4.html,51,44,7
en/articles/c/r/a/Cray_Time_Sharing_System_f2bd.html,51,48,3
en/articles/c/u/l/Culture_of_Denmark_9881.html,51,49,2
en/articles/p/h/i/Philcon.html,51,50,1
