nombre_archivo,ranking_pyTerrier,ranking_propio,diferencia
en/articles/b/e/g/Beginnings_(collection).html,1,3,2
en/articles/r/o/b/Robert_J._Sawyer_d73b.html,2,48,46
en/articles/t/r/a/Trajectories_(magazine).html,3,1,2
en/articles/m/a/r/Marilyn_Singer_d666.html,4,52,48
en/articles/r/o/b/Robert_Holdstock_9c9e.html,5,33,28
en/articles/s/t/a/Stardrift_and_Other_Fantastic_Flotsam_e5ba.html,6,6,0
en/articles/d/i/u/Diuturnity's_Dawn_9a72.html,7,13,6
en/articles/t/e/t/Tetsu_Yano_ac4d.html,8,7,1
en/articles/t/h/e/Theresa_Wiggin_7c28.html,9,11,2
en/articles/r/o/g/Rogue_Queen_8f8f.html,10,26,16
en/articles/d/o/n/Donald_Eaton_Carr_04ea.html,11,34,23
en/articles/a/c/o/Acorna_the_Unicorn_Girl_3ec8.html,12,10,2
en/articles/a/_/j/A_Journey_in_Other_Worlds_286f.html,13,4,9
en/articles/t/h/e/The_Light_of_Other_Days_b05c.html,14,43,29
en/articles/6/0/t/60th_World_Science_Fiction_Convention_56da.html,15,52,37
en/articles/g/u/y/Guy_N._Smith_d9ba.html,16,52,36
en/articles/n/i/n/Ninotchka_Rosca_1499.html,17,14,3
en/articles/m/a/n/Man-eating_tree.html,18,52,34
en/articles/p/h/i/Philcon.html,19,8,11
en/articles/t/o/b/Toby_Johnson_d25e.html,20,52,32
en/articles/l/a/r/Larry_Niven_d1bb.html,21,52,31
en/articles/w/h/i/White_holes_in_fiction.html,22,29,7
en/articles/m/a/g/Maggie_MacDonald_8f66.html,23,35,12
en/articles/g/o/d/Godot.html,24,52,28
en/articles/p/a/u/Paul_G._Tremblay_6d60.html,25,18,7
en/articles/t/i/b/Command_&_Conquer~_Tiberium_Wars_(novel)_0a72.html,26,52,26
en/articles/u/n/e/Une_rose_au_paradis.html,27,5,22
en/articles/n/i/c/Nick_and_the_Glimmung_1422.html,28,52,24
en/articles/s/p/o/Spoo.html,29,52,23
en/articles/t/h/i/Think!_(Asimov_short_story)_3a27.html,30,22,8
en/articles/c/o/u/Counter-Clock_World_b040.html,31,52,21
en/articles/t/r/a/Trapped_(novel).html,32,47,15
en/articles/t/h/e/The_Siege_(disambiguation)_6713.html,33,52,19
en/articles/p/r/o/Project_Nightmare_b0c3.html,34,2,32
en/articles/b/s/f/BSFA_award_2530.html,35,52,17
en/articles/d/i/s/DiscoveryBox_da98.html,36,52,16
en/articles/b/o/z/Bozo_the_Iron_Man_8772.html,37,52,15
en/articles/c/a/p/Captain_Ultra_(TV_series)_e557.html,38,9,29
en/articles/f/l/a/Flash_Crowd_c9f4.html,39,17,22
en/articles/h/o/n/Honorverse_concepts_and_terminology.html,40,52,12
en/articles/s/h/a/Shadow_Puppets_0a33.html,41,52,11
en/articles/t/h/e/The_Snow_Queen_(novel)_18d3.html,42,52,10
en/articles/c/u/l/Cultural_depictions_of_dinosaurs.html,43,52,9
en/articles/c/h/r/Christopher_Sorrentino_3b1d.html,44,52,8
en/articles/g/o/o/Goose_Lane_Editions_a456.html,45,32,13
en/articles/k/n/o/Knowledge_and_Decisions_82ec.html,46,52,6
en/articles/t/h/e/The_Princess_Bride_1c49.html,47,52,5
en/articles/t/h/e/The_Fixer_(Malamud_novel)_c56d.html,48,52,4
en/articles/t/a/m/Tamora_Pierce_4cdc.html,49,52,3
en/articles/e/l/f/Elfwood.html,50,52,2
en/articles/t/h/e/The_Separation_(Animorphs)_9d2a.html,51,52,1
en/articles/d/i/f/Diffusion_boundary_layer.html,52,12,40
en/articles/a/_/c/New_Queer_Cinema~_A_Critical_Reader_1664.html,52,15,37
en/articles/n/o/o/Noosa_Film_Festival_a9ed.html,52,16,36
en/articles/p/a/u/Pau_yuen_tong.html,52,19,33
en/articles/c/o/n/Convergence_(series).html,52,20,32
en/articles/s/t/e/Stephen_Donaldson_e80c.html,52,21,31
en/articles/q/u/a/Quarantine_(2008_film).html,52,23,29
en/articles/t/h/e/The_Chronicles_of_Lucius_Leffing_077f.html,52,24,28
en/articles/k/a/t/Katharina_Sophia_Schultz_df2b.html,52,25,27
en/articles/h/2/p/H2PIA_b4fd.html,52,27,25
en/articles/t/o/m/Tomasz_Adamski_4c97.html,52,28,24
en/articles/t/h/e/The_Light_in_the_Piazza_(novel)_b8a3.html,52,30,22
en/articles/v/o/m/Vomit_Pigs_a463.html,52,31,21
en/articles/s/p/e/Specter_(film).html,52,36,16
en/articles/1/1/9/119th_street_(Johnson_County)_56bd.html,52,37,15
en/articles/a/_/l/A_Love_in_Germany_6814.html,52,38,14
en/articles/a/2E/_/A._Morley_Davies_707d.html,52,39,13
en/articles/k/i/n/King_David's_Spaceship_29df.html,52,40,12
en/articles/c/r/i/Cris_Velasco_d324.html,52,41,11
en/articles/p/o/r/Portable_object_(computing).html,52,42,10
en/articles/a/m/e/American_Guardian_(truck)_2662.html,52,44,8
en/articles/s/e/n/Sentimental.html,52,45,7
en/articles/s/k/y/Sky_&_Telescope_0718.html,52,46,6
en/articles/o/c/t/October_2006_in_science.html,52,49,3
en/articles/i/n/n/Inner_Mongolia_University_of_Science_and_Technology_b529.html,52,50,2
