nombre_archivo,ranking_pyTerrier,ranking_propio,diferencia
en/articles/s/o/v/Soviet–United_States_relations_5247.html,1,3,2
en/articles/w/a/k/Wake_Me_When_the_War_Is_Over_6986.html,2,6,4
en/articles/1/s/t/1st_Armoured_Brigade_(United_Kingdom)_c67f.html,3,51,48
en/articles/r/o/a/World_War_II_Combat~_Road_to_Berlin_c2f0.html,4,12,8
en/articles/m/e/r/Merril_Sandoval_e3c8.html,5,33,28
en/articles/l/i/s/List_of_theaters_and_campaigns_of_World_War_II_628d.html,6,44,38
en/articles/1/s/t/1st_Battalion_2nd_Marines_cc49.html,7,51,44
en/articles/n/a/t/National_Association_of_Russian_Explorers_b145.html,8,15,7
en/articles/b/o/m/Bombing_of_Osaka_in_World_War_II_4895.html,9,51,42
en/articles/3/r/d/3rd_Marine_Division_(United_States)_e0f4.html,10,51,41
en/articles/h/e/s/Hestercombe_House_ff46.html,11,51,40
en/articles/p/o/l/Polish_3rd_Legions_Infantry_Division_07e5.html,12,51,39
en/articles/1/s/t/1st_Battalion_23rd_Marines_6a26.html,13,38,25
en/articles/j/a/m/James_R._Hendrix_5e56.html,14,51,37
en/articles/p/h/i/Philcon.html,15,51,36
en/articles/t/e/r/Teruhisa_Komatsu_00a9.html,16,22,6
en/articles/m/g/-/MG-13_787f.html,17,51,34
en/articles/s/t/e/Stepan_Kretov_ea42.html,18,27,9
en/articles/g/a/k/Gakusei_Kai_bf3f.html,19,51,32
en/articles/u/s/s/USS_Nemasket_(AOG-10)_9646.html,20,51,31
en/articles/u/s/s/USS_Dutchess_(APA-98)_9f78.html,21,51,30
en/articles/l/e/s/Leslie_E._Brown_7c5d.html,22,51,29
en/articles/p/a/n/Panorama_(German_wartime_newsreel)_cba4.html,23,19,4
en/articles/c/a/i/Cairo_Conference_5945.html,24,13,11
en/articles/w/a/l/Walter_Krueger_dba7.html,25,51,26
en/articles/w/i/l/Wilfred__Chicken__Smallhorn_4bff.html,26,23,3
en/articles/r/a/j/Rajadiraja_Chola_II_c4b5.html,27,43,16
en/articles/h/m/a/HMAS_Glenelg_(J236)_8adc.html,28,51,23
en/articles/c/r/o/Croatian-Peruvians_bddb.html,29,51,22
en/articles/s/a/n/Sanacja.html,30,51,21
en/articles/c/h/â/Château_de_Puybardeau_bd54.html,31,51,20
en/articles/f/o/r/For_Tomorrow_102f.html,32,51,19
en/articles/j/a/n/Jan_Syrový_90ae.html,33,51,18
en/articles/b/l/_/BL_6_inch_Gun_Mk_7_6e78.html,34,51,17
en/articles/g/e/r/Germanic-SS_ff54.html,35,51,16
en/articles/d/e/s/Desmond_Llewelyn_e92b.html,36,51,15
en/articles/p/r/o/Provisional_Administration_6e76.html,37,51,14
en/articles/m/a/t/Matilda_tank.html,38,51,13
en/articles/a/d/a/Adam_Studziński_87f1.html,39,14,25
en/articles/s/t/u/Sturmpistole.html,40,51,11
en/articles/a/s/t/Astrid_Løken_9e26.html,41,51,10
en/articles/m/a/c/Maciej_Aleksy_Dawidowski_d63d.html,42,51,9
en/articles/b/e/t/Bethlehem_Steel_119e.html,43,51,8
en/articles/o/t/t/Otto_Dix_593c.html,44,51,7
en/articles/a/_/l/A_Love_in_Germany_6814.html,45,51,6
en/articles/t/i/b/Command_&_Conquer~_Tiberium_Wars_(novel)_0a72.html,46,51,5
en/articles/r/o/b/Robert_Stinnett_c7d8.html,47,40,7
en/articles/j/o/h/John_Edward_McCarthy_4f09.html,48,51,3
en/articles/g/e/o/George_B._Simler_1b09.html,49,51,2
en/articles/b/r/u/Brusy.html,50,51,1
en/articles/o/p/e/Operation_Zeppelin_7e49.html,51,1,50
en/articles/f/l/a/Flanders_War_f917.html,51,2,49
en/articles/f/a/i/Fair_Stood_the_Wind_for_France_962f.html,51,4,47
en/articles/g/i/n/Gino_Strada_a264.html,51,5,46
en/articles/c/r/i/Cris_Velasco_d324.html,51,7,44
en/articles/b/o/o/Booker_T._Spicely_85b0.html,51,8,43
en/articles/h/e/r/Hermann_Otto_II_of_Limburg_Stirum_724f.html,51,9,42
en/articles/m/_/c/M_class_Minesweeper_(Germany)_fca5.html,51,10,41
en/articles/g/r/a/Gravedigger_(comics).html,51,11,40
en/articles/m/o/d/Modern_warfare.html,51,16,35
en/articles/l/a/n/Languages_of_Oceania_af2f.html,51,17,34
en/articles/s/e/r/Sergei_Khudyakov_c8e6.html,51,18,33
en/articles/c/i/b/Cibi.html,51,20,31
en/articles/p/h/i/Philip_Paul_bfdb.html,51,21,30
en/articles/e/u/r/Euryale.html,51,24,27
en/articles/r/a/n/Randall_Swingler_7b36.html,51,25,26
en/articles/i/r/a/Winter_Soldier~_Iraq_&_Afghanistan_247e.html,51,26,25
en/articles/a/l/b/Albert_Levy_(soldier)_9746.html,51,28,23
en/articles/g/u/a/Guardian_(database).html,51,29,22
en/articles/a/r/m/Army.html,51,30,21
en/articles/1/8/t/18th_Regiment_Massachusetts_Volunteer_Infantry_3af3.html,51,31,20
en/articles/m/i/k/Mikael_Jorgensen_1052.html,51,32,19
en/articles/n/a/v/Navigation_Acts_345c.html,51,34,17
en/articles/s/t/u/Studholme_Hodgson_d21d.html,51,35,16
en/articles/h/i/e/Hiel_Brockway_1f0e.html,51,36,15
en/articles/j/o/o/Joost_Scholte_37d5.html,51,37,14
en/articles/t/i/m/Timothée_Franchère_4447.html,51,39,12
en/articles/e/r/i/Eric_Goldberg_aec7.html,51,41,10
en/articles/a/l/e/Alexander_Spiridovich_7c63.html,51,42,9
en/articles/c/o/a/Coat_of_arms_of_the_Polish–Lithuanian_Commonwealth_df26.html,51,45,6
en/articles/u/n/i/UNIcert_5cdf.html,51,46,5
en/articles/j/2E/_/J._W._Smith_544e.html,51,47,4
en/articles/m/e/m/Memorial_square.html,51,48,3
en/articles/k/i/n/Kingdom_of_Rwenzururu_1ebe.html,51,49,2
en/articles/p/i/e/Pierre_Daye_169e.html,51,50,1
