Pos,Documento,Coseno
1,en/articles/e/z/e/Ezequiel_Paulón_5a9f.html,0.148188
2,en/articles/i/n/d/Independiente_de_La_Rioja_d4de.html,0.119738
3,en/articles/l/u/i/Luis_Petcoff_Naidenoff_d2d4.html,0.094815
4,"en/articles/c/h/a/Chacabuco,_Buenos_Aires_db6b.html",0.092383
5,en/articles/s/u/n/Sungrebe.html,0.092307
6,en/articles/e/n/r/Enrique_Santiago_Petracchi_510c.html,0.091833
7,en/articles/j/u/a/Juan_Álvarez_(historian)_f8d3.html,0.085912
8,en/articles/2/0/0/2000_Volleyball_America's_Cup_d018.html,0.084067
9,en/articles/t/o/u/Tour_of_Somerville_689f.html,0.078675
10,en/articles/h/u/g/Hugo_Porta_10e3.html,0.078541
11,en/articles/c/a/t/Cattle_Tyrant_9707.html,0.075735
12,en/articles/d/r/y/Drysdale.html,0.073310
13,en/articles/g/r/e/Great_Pampa-finch_a1dd.html,0.072403
14,en/articles/j/u/l/Julio_Chávez_ac6e.html,0.071707
15,en/articles/m/r/2E/Mr._Bricolage_c06c.html,0.071559
16,en/articles/c/o/m/Companion_planting.html,0.071511
17,en/articles/e/l/o/Eloy_Fariña_Núñez_c497.html,0.069594
18,en/articles/u/n/i/University_of_Belgrano_dc54.html,0.067958
19,en/articles/l/e/p/Leptodon.html,0.067811
20,en/articles/g/e/o/George_Maxwell_8d58.html,0.067718
21,"en/articles/u/n/i/University_of_California,_Irvine,_Arboretum_444f.html",0.067249
22,en/articles/l/u/c/Lucas_Mareque_fbe0.html,0.067211
23,en/articles/a/l/o/Alonzo_de_Barcena_73e8.html,0.063592
24,en/articles/m/a/r/Margherita_Sarfatti_a9c1.html,0.063545
25,en/articles/c/a/c/Cacteae.html,0.061454
26,en/articles/a/l/l/Allamanda_angustifolia.html,0.060555
27,en/articles/v/e/r/Verónico_Cruz_(film)_fa73.html,0.059912
28,en/articles/b/e/e/Beekman_Native_Plant_Arboretum_3bfa.html,0.058729
29,en/articles/m/i/m/Mimosa_verrucosa.html,0.057099
30,en/articles/1/9/5/1955_Italian_Grand_Prix_947d.html,0.055809
31,en/articles/g/e/m/Gemmules.html,0.055046
32,en/articles/b/u/d/Buddleja_globosa.html,0.055008
33,en/articles/i/n/f/Infame.html,0.054830
34,en/articles/a/n/t/Antoine_Laurent_de_Jussieu_5b0d.html,0.054223
35,en/articles/e/s/t/Estonian-American_9fed.html,0.053786
36,en/articles/c/h/a/Charlie_Yankos_1ef1.html,0.053668
37,en/articles/l/i/l/Lilium_superbum.html,0.053600
38,en/articles/b/e/l/Belgrano_(disambiguation).html,0.053386
39,en/articles/h/y/a/Hyacinth.html,0.052767
40,en/articles/a/r/a/Arachis_villosulicarpa.html,0.052586
41,en/articles/g/i/a/Giardino_Botanico_del_Museo_Civico_di_Scienze_Naturali_di_Faenza_9020.html,0.050918
42,en/articles/p/i/e/Pierre_Daye_169e.html,0.050911
43,en/articles/1/9/7/1971_European_Formula_Two_season_79ea.html,0.050007
44,en/articles/b/y/t/Byttneria.html,0.049341
45,en/articles/m/o/n/Montanoa_tomentosa.html,0.049238
46,en/articles/c/h/e/Cherokee_Arboretum_at_Audubon_Acres_288a.html,0.049189
47,en/articles/v/a/l/Valley_Power_63f8.html,0.049012
48,en/articles/t/r/i/Trimerotropis_infantilis.html,0.047671
49,en/articles/l/i/s/List_of_sovereign_states_in_1941.html,0.047498
50,en/articles/f/i/d/Fiddleneck.html,0.046761
