Pos,Documento,Coseno
1,en/articles/t/r/a/Trajectories_(magazine).html,0.198480
2,en/articles/p/r/o/Project_Nightmare_b0c3.html,0.158916
3,en/articles/b/e/g/Beginnings_(collection).html,0.157851
4,en/articles/a/_/j/A_Journey_in_Other_Worlds_286f.html,0.148525
5,en/articles/u/n/e/Une_rose_au_paradis.html,0.146054
6,en/articles/s/t/a/Stardrift_and_Other_Fantastic_Flotsam_e5ba.html,0.139704
7,en/articles/t/e/t/Tetsu_Yano_ac4d.html,0.129897
8,en/articles/p/h/i/Philcon.html,0.108883
9,en/articles/c/a/p/Captain_Ultra_(TV_series)_e557.html,0.107556
10,en/articles/a/c/o/Acorna_the_Unicorn_Girl_3ec8.html,0.099083
11,en/articles/t/h/e/Theresa_Wiggin_7c28.html,0.097936
12,en/articles/d/i/f/Diffusion_boundary_layer.html,0.097227
13,en/articles/d/i/u/Diuturnity's_Dawn_9a72.html,0.095727
14,en/articles/n/i/n/Ninotchka_Rosca_1499.html,0.095396
15,en/articles/a/_/c/New_Queer_Cinema~_A_Critical_Reader_1664.html,0.095116
16,en/articles/n/o/o/Noosa_Film_Festival_a9ed.html,0.093626
17,en/articles/f/l/a/Flash_Crowd_c9f4.html,0.091184
18,en/articles/p/a/u/Paul_G._Tremblay_6d60.html,0.089988
19,en/articles/p/a/u/Pau_yuen_tong.html,0.089683
20,en/articles/c/o/n/Convergence_(series).html,0.089032
21,en/articles/s/t/e/Stephen_Donaldson_e80c.html,0.088378
22,en/articles/t/h/i/Think!_(Asimov_short_story)_3a27.html,0.086511
23,en/articles/q/u/a/Quarantine_(2008_film).html,0.085150
24,en/articles/t/h/e/The_Chronicles_of_Lucius_Leffing_077f.html,0.083868
25,en/articles/k/a/t/Katharina_Sophia_Schultz_df2b.html,0.083729
26,en/articles/r/o/g/Rogue_Queen_8f8f.html,0.083314
27,en/articles/h/2/p/H2PIA_b4fd.html,0.080844
28,en/articles/t/o/m/Tomasz_Adamski_4c97.html,0.080363
29,en/articles/w/h/i/White_holes_in_fiction.html,0.079124
30,en/articles/t/h/e/The_Light_in_the_Piazza_(novel)_b8a3.html,0.077317
31,en/articles/v/o/m/Vomit_Pigs_a463.html,0.077067
32,en/articles/g/o/o/Goose_Lane_Editions_a456.html,0.075836
33,en/articles/r/o/b/Robert_Holdstock_9c9e.html,0.075638
34,en/articles/d/o/n/Donald_Eaton_Carr_04ea.html,0.074575
35,en/articles/m/a/g/Maggie_MacDonald_8f66.html,0.073028
36,en/articles/s/p/e/Specter_(film).html,0.072874
37,en/articles/1/1/9/119th_street_(Johnson_County)_56bd.html,0.072761
38,en/articles/a/_/l/A_Love_in_Germany_6814.html,0.071895
39,en/articles/a/2E/_/A._Morley_Davies_707d.html,0.071406
40,en/articles/k/i/n/King_David's_Spaceship_29df.html,0.071109
41,en/articles/c/r/i/Cris_Velasco_d324.html,0.068863
42,en/articles/p/o/r/Portable_object_(computing).html,0.068862
43,en/articles/t/h/e/The_Light_of_Other_Days_b05c.html,0.068141
44,en/articles/a/m/e/American_Guardian_(truck)_2662.html,0.067726
45,en/articles/s/e/n/Sentimental.html,0.066640
46,en/articles/s/k/y/Sky_&_Telescope_0718.html,0.066557
47,en/articles/t/r/a/Trapped_(novel).html,0.065716
48,en/articles/r/o/b/Robert_J._Sawyer_d73b.html,0.064956
49,en/articles/o/c/t/October_2006_in_science.html,0.063760
50,en/articles/i/n/n/Inner_Mongolia_University_of_Science_and_Technology_b529.html,0.063386
