Pos,Documento,Coseno
1,en/articles/o/p/e/Operation_Zeppelin_7e49.html,0.080315
2,en/articles/f/l/a/Flanders_War_f917.html,0.068070
3,en/articles/s/o/v/Soviet–United_States_relations_5247.html,0.067193
4,en/articles/f/a/i/Fair_Stood_the_Wind_for_France_962f.html,0.062729
5,en/articles/g/i/n/Gino_Strada_a264.html,0.060542
6,en/articles/w/a/k/Wake_Me_When_the_War_Is_Over_6986.html,0.059614
7,en/articles/c/r/i/Cris_Velasco_d324.html,0.059480
8,en/articles/b/o/o/Booker_T._Spicely_85b0.html,0.058950
9,en/articles/h/e/r/Hermann_Otto_II_of_Limburg_Stirum_724f.html,0.058781
10,en/articles/m/_/c/M_class_Minesweeper_(Germany)_fca5.html,0.058708
11,en/articles/g/r/a/Gravedigger_(comics).html,0.058379
12,en/articles/r/o/a/World_War_II_Combat~_Road_to_Berlin_c2f0.html,0.057186
13,en/articles/c/a/i/Cairo_Conference_5945.html,0.055135
14,en/articles/a/d/a/Adam_Studziński_87f1.html,0.052522
15,en/articles/n/a/t/National_Association_of_Russian_Explorers_b145.html,0.052521
16,en/articles/m/o/d/Modern_warfare.html,0.051733
17,en/articles/l/a/n/Languages_of_Oceania_af2f.html,0.050718
18,en/articles/s/e/r/Sergei_Khudyakov_c8e6.html,0.050549
19,en/articles/p/a/n/Panorama_(German_wartime_newsreel)_cba4.html,0.049542
20,en/articles/c/i/b/Cibi.html,0.048091
21,en/articles/p/h/i/Philip_Paul_bfdb.html,0.047850
22,en/articles/t/e/r/Teruhisa_Komatsu_00a9.html,0.047190
23,en/articles/w/i/l/Wilfred__Chicken__Smallhorn_4bff.html,0.046889
24,en/articles/e/u/r/Euryale.html,0.046592
25,en/articles/r/a/n/Randall_Swingler_7b36.html,0.045827
26,en/articles/i/r/a/Winter_Soldier~_Iraq_&_Afghanistan_247e.html,0.045394
27,en/articles/s/t/e/Stepan_Kretov_ea42.html,0.044843
28,en/articles/a/l/b/Albert_Levy_(soldier)_9746.html,0.044580
29,en/articles/g/u/a/Guardian_(database).html,0.043850
30,en/articles/a/r/m/Army.html,0.043750
31,en/articles/1/8/t/18th_Regiment_Massachusetts_Volunteer_Infantry_3af3.html,0.043385
32,en/articles/m/i/k/Mikael_Jorgensen_1052.html,0.043290
33,en/articles/m/e/r/Merril_Sandoval_e3c8.html,0.043180
34,en/articles/n/a/v/Navigation_Acts_345c.html,0.042998
35,en/articles/s/t/u/Studholme_Hodgson_d21d.html,0.042523
36,en/articles/h/i/e/Hiel_Brockway_1f0e.html,0.042261
37,en/articles/j/o/o/Joost_Scholte_37d5.html,0.041997
38,en/articles/1/s/t/1st_Battalion_23rd_Marines_6a26.html,0.041460
39,en/articles/t/i/m/Timothée_Franchère_4447.html,0.041081
40,en/articles/r/o/b/Robert_Stinnett_c7d8.html,0.040970
41,en/articles/e/r/i/Eric_Goldberg_aec7.html,0.040963
42,en/articles/a/l/e/Alexander_Spiridovich_7c63.html,0.040949
43,en/articles/r/a/j/Rajadiraja_Chola_II_c4b5.html,0.040676
44,en/articles/l/i/s/List_of_theaters_and_campaigns_of_World_War_II_628d.html,0.040196
45,en/articles/c/o/a/Coat_of_arms_of_the_Polish–Lithuanian_Commonwealth_df26.html,0.040188
46,en/articles/u/n/i/UNIcert_5cdf.html,0.039859
47,en/articles/j/2E/_/J._W._Smith_544e.html,0.039769
48,en/articles/m/e/m/Memorial_square.html,0.039703
49,en/articles/k/i/n/Kingdom_of_Rwenzururu_1ebe.html,0.039506
50,en/articles/p/i/e/Pierre_Daye_169e.html,0.038816
