Pos,Documento,Coseno
1,"en/articles/f/u/t/Futsu,_Nagasaki_6d69.html",0.391954
2,"en/articles/a/r/i/Arie,_Nagasaki_63bf.html",0.368984
3,"en/articles/m/i/n/Minamishimabara,_Nagasaki_6362.html",0.252065
4,en/articles/k/o/b/Kobe_Station_07b4.html,0.131067
5,en/articles/c/o/s/Cosme_de_Torrès_e30a.html,0.090591
6,en/articles/b/o/m/Bombing_of_Osaka_in_World_War_II_4895.html,0.086945
7,en/articles/s/h/u/Shuchiin_University_5906.html,0.066060
8,en/articles/f/r/e/Freestyle_Skiing_at_the_2003_Winter_Asian_Games_155f.html,0.065872
9,en/articles/m/i/y/Miyazaki_Sangyo-keiei_University_b8c0.html,0.064817
10,en/articles/a/k/i/Akiko_Domoto_7e48.html,0.062694
11,"en/articles/s/e/i/Seiwa,_Kumamoto_1671.html",0.062274
12,"en/articles/n/a/m/Namikata,_Ehime_2212.html",0.061566
13,en/articles/m/i/h/Miho_Tanaka_b60d.html,0.058389
14,"en/articles/w/a/k/Wakayama_gubernatorial_election,_1999.html",0.057715
15,en/articles/j/a/p/Japan_at_the_1964_Winter_Olympics_e206.html,0.057295
16,en/articles/y/u/k/Yukari_Tachibana_38bc.html,0.056711
17,en/articles/h/o/n/Honinbo_Hakugen_3ef1.html,0.055313
18,en/articles/s/p/e/Speed_Skating_at_the_1990_Winter_Asian_Games_78de.html,0.055143
19,"en/articles/h/a/c/Hachikai,_Aichi_0cba.html",0.054790
20,en/articles/h/i/r/Hiroyuki_Nishiuchi_8803.html,0.054638
21,"en/articles/k/a/w/Kawauchi,_Aomori_28ae.html",0.053119
22,"en/articles/n/a/g/Naganohara,_Gunma_49a0.html",0.052820
23,en/articles/l/i/s/List_of_environmental_topics_(N)_409e.html,0.050570
24,"en/articles/f/u/j/Fujioka,_Tochigi_df61.html",0.050092
25,en/articles/m/a/k/Makoto_Kaneko_(baseball)_37c6.html,0.048594
26,en/articles/b/b/c/BBC_Global_30_dc4a.html,0.046109
27,en/articles/m/a/s/Masaaki_Sawanobori_4b27.html,0.045662
28,en/articles/k/o/r/Korean_Army_ff97.html,0.044707
29,en/articles/l/i/s/List_of_colonial_governors_in_1901.html,0.044605
30,en/articles/s/i/e/Siege_of_Koriyama_3ffc.html,0.044113
31,en/articles/b/a/n/Bangladeshi-Japanese_relations_4a68.html,0.043031
32,en/articles/t/o/k/Tokyo_University_of_Agriculture_and_Technology_c9d7.html,0.042463
33,en/articles/n/e/g/Negimaki.html,0.042238
34,en/articles/h/a/n/Hanare_Kirishitan_1cb4.html,0.041886
35,en/articles/a/o/y/Aoyama_Plateau_Wind_Farm_ee31.html,0.039902
36,en/articles/l/i/s/List_of_highways_numbered_271.html,0.039840
37,en/articles/2/0/0/2007_World_Port_Tournament_6942.html,0.039740
38,en/articles/1/s/t/1st_Battalion_2nd_Marines_cc49.html,0.039503
39,en/articles/ō/r/i/Ōri_Umesaka_7b6f.html,0.038412
40,en/articles/t/s/u/Tsugaru_Peninsula_9ee9.html,0.038283
41,en/articles/f/l/y/Flying_disc_at_the_World_Games_5731.html,0.038094
42,en/articles/2/0/0/2007_Tour_of_Siam_5529.html,0.038044
43,en/articles/c/r/e/Crested_Ibis_93b3.html,0.037349
44,en/articles/m/i/k/Mikio_Oda_c7b0.html,0.036794
45,"en/articles/g/o/o/Good_Wife,_Wise_Mother_dbbe.html",0.036672
46,en/articles/c/a/i/Cairo_Conference_5945.html,0.036466
47,en/articles/m/o/u/Mount_Pekerebetsu_0cf2.html,0.036277
48,en/articles/k/a/m/Kamatari_Fujiwara_010e.html,0.036012
49,en/articles/n/i/h/Nihon_Minka-en_defb.html,0.035231
50,en/articles/h/o/n/Honmaru_Kaikan-mae_Station_590e.html,0.034982
