query,patron,total_postings,tiempo_seg,tiempo_seg_str
katy augustus,t1 AND t2,16,"0,000689033",0.000689033
tyson fight,t1 AND t2,149,"0,000304149",0.000304149
modesto bee,t1 AND t2,23,"0,000806153",0.000806153
british airways,t1 AND t2,472,"0,000805943",0.000805943
star wars,t1 AND t2,237,"0,000671713",0.000671713
er cast,t1 AND t2,201,"0,000919502",0.000919502
touch kirby,t1 AND t2,51,"0,001288043",0.001288043
business loans,t1 AND t2,330,"0,000964548",0.000964548
fare tracker,t1 AND t2,19,"0,000828850",0.000828850
obi won,t1 AND t2,497,"0,001048634",0.001048634
model girls,t1 AND t2,271,"0,001115680",0.001115680
noir chloe,t1 AND t2,8,"0,000791696",0.000791696
apollo missions,t1 AND t2,82,"0,000974675",0.000974675
rachel mcadams,t1 AND t2,14,"0,000795328",0.000795328
free music,t1 AND t2,6819,"0,003786817",0.003786817
bentley automobiles,t1 AND t2,19,"0,000606762",0.000606762
chlorine generator,t1 AND t2,18,"0,000828152",0.000828152
yahoo finance,t1 AND t2,104,"0,000615282",0.000615282
tire kingdom,t1 AND t2,343,"0,001074195",0.001074195
hot quotes,t1 AND t2,142,"0,001290418",0.001290418
jennifer aniston,t1 AND t2,12,"0,001093890",0.001093890
yahoo calendar,t1 AND t2,82,"0,000643568",0.000643568
gator logo,t1 AND t2,215,"0,000691128",0.000691128
bronx schools,t1 AND t2,269,"0,000682538",0.000682538
area codes,t1 AND t2,1164,"0,001697091",0.001697091
readers wives,t1 AND t2,70,"0,001102550",0.001102550
beaumont enterprise,t1 AND t2,46,"0,000782268",0.000782268
farm secrets,t1 AND t2,108,"0,000630018",0.000630018
kids games,t1 AND t2,346,"0,000681351",0.000681351
tom cruise,t1 AND t2,108,"0,000883256",0.000883256
loudon tennessee,t1 AND t2,66,"0,000885211",0.000885211
tudor city,t1 AND t2,771,"0,001136772",0.001136772
wic program,t1 AND t2,248,"0,000704049",0.000704049
fast cash,t1 AND t2,126,"0,001001214",0.001001214
buddy holly,t1 AND t2,18,"0,000629041",0.000629041
dear mountain,t1 AND t2,129,"0,000425739",0.000425739
fathers day,t1 AND t2,504,"0,000318467",0.000318467
guitar tabs,t1 AND t2,143,"0,000243878",0.000243878
herbal abortion,t1 AND t2,20,"0,000670804",0.000670804
rachel hunter,t1 AND t2,55,"0,000715781",0.000715781
dean christians,t1 AND t2,79,"0,000248208",0.000248208
louisiana pageants,t1 AND t2,68,"0,000236265",0.000236265
