query,metodo,patron,total_postings,tiempo_seg
katy augustus,sin_skip,t1 AND t2,16,0.000020109
katy augustus,con_skip,t1 AND t2,16,0.000020179
tyson fight,sin_skip,t1 AND t2,149,0.000050203
tyson fight,con_skip,t1 AND t2,149,0.000027720
modesto bee,sin_skip,t1 AND t2,23,0.000009496
modesto bee,con_skip,t1 AND t2,23,0.000013965
british airways,sin_skip,t1 AND t2,472,0.000085883
british airways,con_skip,t1 AND t2,472,0.000040917
star wars,sin_skip,t1 AND t2,237,0.000048597
star wars,con_skip,t1 AND t2,237,0.000092028
er cast,sin_skip,t1 AND t2,201,0.000042453
er cast,con_skip,t1 AND t2,201,0.000057953
touch kirby,sin_skip,t1 AND t2,51,0.000012778
touch kirby,con_skip,t1 AND t2,51,0.000009147
business loans,sin_skip,t1 AND t2,330,0.000061445
business loans,con_skip,t1 AND t2,330,0.000062073
fare tracker,sin_skip,t1 AND t2,19,0.000008868
fare tracker,con_skip,t1 AND t2,19,0.000014314
obi won,sin_skip,t1 AND t2,497,0.000079041
obi won,con_skip,t1 AND t2,497,0.000034842
model girls,sin_skip,t1 AND t2,271,0.000053485
model girls,con_skip,t1 AND t2,271,0.000099498
noir chloe,sin_skip,t1 AND t2,8,0.000006633
noir chloe,con_skip,t1 AND t2,8,0.000009706
apollo missions,sin_skip,t1 AND t2,82,0.000024229
apollo missions,con_skip,t1 AND t2,82,0.000033655
rachel mcadams,sin_skip,t1 AND t2,14,0.000007681
rachel mcadams,con_skip,t1 AND t2,14,0.000009007
free music,sin_skip,t1 AND t2,6819,0.001294878
free music,con_skip,t1 AND t2,6819,0.001875532
bentley automobiles,sin_skip,t1 AND t2,19,0.000018084
bentley automobiles,con_skip,t1 AND t2,19,0.000025346
chlorine generator,sin_skip,t1 AND t2,18,0.000009635
chlorine generator,con_skip,t1 AND t2,18,0.000013686
yahoo finance,sin_skip,t1 AND t2,104,0.000024717
yahoo finance,con_skip,t1 AND t2,104,0.000042871
tire kingdom,sin_skip,t1 AND t2,343,0.000060118
tire kingdom,con_skip,t1 AND t2,343,0.000034354
hot quotes,sin_skip,t1 AND t2,142,0.000031909
hot quotes,con_skip,t1 AND t2,142,0.000057325
jennifer aniston,sin_skip,t1 AND t2,12,0.000005796
jennifer aniston,con_skip,t1 AND t2,12,0.000007262
yahoo calendar,sin_skip,t1 AND t2,82,0.000021017
yahoo calendar,con_skip,t1 AND t2,82,0.000031490
gator logo,sin_skip,t1 AND t2,215,0.000041475
gator logo,con_skip,t1 AND t2,215,0.000030932
bronx schools,sin_skip,t1 AND t2,269,0.000037076
bronx schools,con_skip,t1 AND t2,269,0.000039660
area codes,sin_skip,t1 AND t2,1164,0.000196344
area codes,con_skip,t1 AND t2,1164,0.000303942
readers wives,sin_skip,t1 AND t2,70,0.000019201
readers wives,con_skip,t1 AND t2,70,0.000033794
beaumont enterprise,sin_skip,t1 AND t2,46,0.000014384
beaumont enterprise,con_skip,t1 AND t2,46,0.000020808
farm secrets,sin_skip,t1 AND t2,108,0.000027860
farm secrets,con_skip,t1 AND t2,108,0.000046851
kids games,sin_skip,t1 AND t2,346,0.000061724
kids games,con_skip,t1 AND t2,346,0.000098661
tom cruise,sin_skip,t1 AND t2,108,0.000027022
tom cruise,con_skip,t1 AND t2,108,0.000044199
loudon tennessee,sin_skip,t1 AND t2,66,0.000015082
loudon tennessee,con_skip,t1 AND t2,66,0.000013755
tudor city,sin_skip,t1 AND t2,771,0.000125403
tudor city,con_skip,t1 AND t2,771,0.000082322
wic program,sin_skip,t1 AND t2,248,0.000038194
wic program,con_skip,t1 AND t2,248,0.000012359
fast cash,sin_skip,t1 AND t2,126,0.000030513
fast cash,con_skip,t1 AND t2,126,0.000051529
buddy holly,sin_skip,t1 AND t2,18,0.000008519
buddy holly,con_skip,t1 AND t2,18,0.000016758
dear mountain,sin_skip,t1 AND t2,129,0.000026672
dear mountain,con_skip,t1 AND t2,129,0.000037285
fathers day,sin_skip,t1 AND t2,504,0.000088117
fathers day,con_skip,t1 AND t2,504,0.000080437
guitar tabs,sin_skip,t1 AND t2,143,0.000007261
guitar tabs,con_skip,t1 AND t2,143,0.000009496
herbal abortion,sin_skip,t1 AND t2,20,0.000008100
herbal abortion,con_skip,t1 AND t2,20,0.000012359
rachel hunter,sin_skip,t1 AND t2,55,0.000016129
rachel hunter,con_skip,t1 AND t2,55,0.000021016
