query,cantidad_terminos,total_postings,daat,taat
straightway,1,61,0.000004330,0.000012781
bscc,1,21,0.000002374,0.000009988
attracting,1,18740,0.000248645,0.001848283
brittany,1,3408,0.000273091,0.000794406
ordained,1,949,0.000014947,0.000149327
loonytoons,1,1,0.000004400,0.000013619
tinicum,1,3,0.000001886,0.000004889
supercheatscom,1,1,0.000001815,0.000003353
bodylice,1,1,0.000001886,0.000003283
serigraphs,1,48,0.000002444,0.000006566
simions,1,18,0.000001955,0.000005727
fzero,1,411,0.000002864,0.000027658
rusticas,1,148,0.000003771,0.000019556
mkennedy,1,2,0.000002375,0.000005168
v505,1,462,0.000002934,0.000025772
satonline,1,3,0.000002444,0.000010477
hotass,1,2,0.000001886,0.000023258
imo,1,372,0.000002794,0.000048542
decada,1,8,0.000002375,0.000010197
bryds,1,236,0.000002375,0.000015016
vicepresident,1,1024,0.000004749,0.000069425
soundcard,1,868,0.000006077,0.000069146
dildy,1,1,0.000003702,0.000013968
movieman,1,1,0.000002375,0.000003423
oillamps,1,13,0.000002305,0.000003702
porters,1,4632,0.000016274,0.000363189
photoperiod,1,32,0.000013271,0.000056294
dizz,1,9,0.000001886,0.000003842
cartine,1,20,0.000001467,0.000004260
leeuwenhoek,1,63,0.000008171,0.000006635
dissable,1,11,0.000001886,0.000004261
auditer,1,1,0.000001397,0.000002794
strolers,1,3,0.000001956,0.000004331
p90x,1,1,0.000001467,0.000002444
karty,1,17,0.000001397,0.000003841
myometrium,1,156,0.000002375,0.000011384
hildale,1,1,0.000001886,0.000004820
riderwood,1,3,0.000001397,0.000002794
fatcats,1,72,0.000001886,0.000006635
griffths,1,15,0.000001956,0.000004190
rayka,1,1,0.000001397,0.000002864
fassel,1,2,0.000001327,0.000002374
laitner,1,5,0.000001466,0.000003283
digital7,1,3,0.000001467,0.000002864
sirg,1,1,0.000001466,0.000002445
promotes,1,43153,0.000660794,0.006148372
t7k250,1,15,0.000952045,0.002136110
commercals,1,5,0.000004261,0.000012014
asien,1,196,0.000002863,0.000020674
catalyst,1,2548,0.000012781,0.000217145
cheesecrust,1,1,0.000008940,0.000044072
bardell,1,30,0.000001956,0.000007194
mangager,1,6,0.000001397,0.000004401
drspock,1,1,0.000001327,0.000002863
mujere,1,394,0.000003353,0.000032897
sa53,1,5,0.000002793,0.000012013
chocolatinas,1,5,0.000001397,0.000003353
elpa,1,3,0.000001885,0.000003283
potaoes,1,6,0.000001955,0.000005797
chlortetracycline,1,7,0.000001397,0.000003283
foldboat,1,3,0.000001955,0.000003702
commadore,1,7,0.000001956,0.000003842
antoninus,1,24,0.000002864,0.000005238
cfk,1,11,0.000002375,0.000004750
hamsting,1,2,0.000001956,0.000003352
cocert,1,1,0.000001885,0.000003423
brodcasters,1,1,0.000001885,0.000003213
plabel,1,2,0.000001396,0.000002375
axilas,1,1,0.000001956,0.000003353
horsetrack,1,4,0.000002375,0.000002863
telfone,1,3,0.000002375,0.000002793
tohatsu,1,41,0.000002445,0.000006705
cavatini,1,1,0.000002305,0.000003841
quilli,1,1,0.000001886,0.000003352
sanguedolce,1,1,0.000001397,0.000002375
northw,1,8,0.000001397,0.000003701
pr123,1,1,0.000001956,0.000002863
kideyes,1,1,0.000001885,0.000002864
okgo,1,3,0.000001397,0.000002794
adamidis,1,4,0.000001397,0.000002793
bettencourts,1,15,0.000002375,0.000004260
securoty,1,1,0.000002375,0.000004331
guinzburg,1,1,0.000001397,0.000002864
arima,1,68,0.000002375,0.000007054
pctools,1,4,0.000001886,0.000004890
tediz,1,2,0.000001956,0.000002794
theref,1,1,0.000001886,0.000002794
nicolla,1,2,0.000001956,0.000002864
frankinstiens,1,1,0.000001397,0.000002863
bidders,1,3089,0.000011035,0.000215189
bfc,1,301,0.000010546,0.000066282
jto,1,3,0.000002375,0.000022280
ceries,1,83,0.000002375,0.000009569
treament,1,59,0.000002933,0.000010547
sndrome,1,4,0.000001956,0.000004819
recipesrecipes,1,3,0.000001397,0.000002794
vanse,1,1,0.000001397,0.000003352
distas,1,21,0.000002444,0.000005239
maffia,1,411,0.000002864,0.000029334
recetario,1,1,0.000002864,0.000011245
beya,1,8,0.000001467,0.000003282
delgard,1,4,0.000001467,0.000002864
ulyanov,1,5,0.000001885,0.000004331
dovoe,1,21,0.000001397,0.000004680
pollitt,1,155,0.000002305,0.000012991
ftth,1,10,0.000001956,0.000007054
tremieres,1,4,0.000001467,0.000002444
fragle,1,3,0.000001886,0.000004819
blackknight,1,2,0.000003352,0.000098201
vaid,1,21,0.000001467,0.000006356
gruet,1,9,0.000001816,0.000003841
coverslip,1,64,0.000001956,0.000006635
lavoshe,1,1,0.000001955,0.000003842
bozen,1,33,0.000002375,0.000004749
ckes,1,1984,0.000012363,0.000175099
pood,1,252,0.000008381,0.000052593
id4,1,17,0.000002375,0.000008171
burnz,1,2,0.000001885,0.000004400
mth,1,1478,0.000006635,0.000108049
remeo,1,1,0.000005797,0.000030521
putang,1,1,0.000001885,0.000002794
shrinkfast,1,40,0.000001397,0.000006216
commiss,1,12,0.000002445,0.000004819
artio,1,5,0.000001886,0.000003352
pyschological,1,22,0.000002375,0.000005308
drury,1,890,0.000005727,0.000058459
hywyd,1,2,0.000003841,0.000015575
guuui,1,3,0.000001397,0.000003352
franjo,1,118,0.000002864,0.000011873
homesolution,1,1,0.000001886,0.000005309
mommom,1,1,0.000001956,0.000003283
ufcu,1,2,0.000001466,0.000003283
deleau,1,25,0.000001956,0.000004750
silipos,1,6,0.000001816,0.000003841
tintiing,1,8,0.000001955,0.000004191
autoe,1,57366,0.001020771,0.008206256
laondon,1,1,0.001176314,0.003179720
asmda,1,1,0.000003352,0.000011874
usb2,1,1588,0.000009079,0.000241870
kaleen,1,1,0.000005727,0.000033455
deadbolts,1,179,0.000002445,0.000016134
ersonnel,1,48,0.000002305,0.000009010
galix,1,1,0.000001396,0.000005309
budvar,1,28,0.000001956,0.000005378
herer,1,25,0.000002304,0.000006636
toobeez,1,1,0.000001467,0.000006147
childdren,1,4,0.000001467,0.000002933
belsan,1,1,0.000001886,0.000002933
raceparts,1,2,0.000001397,0.000003771
bathroom,1,37566,0.000587388,0.006019997
huston,1,283,0.000584874,0.001818809
pedestrians,1,2464,0.000010058,0.000241311
clotfelter,1,1,0.000009708,0.000083324
hasans,1,235,0.000002374,0.000017531
lavegas,1,8,0.000002375,0.000006775
deired,1,88,0.000002794,0.000009010
astrologer,1,390,0.000002934,0.000031010
terlato,1,2,0.000002375,0.000010057
mcrosoft,1,2,0.000001467,0.000003282
beamer,1,925,0.000004679,0.000055386
tablespace,1,22,0.000003842,0.000014807
murtz,1,1,0.000001467,0.000002864
loosing,1,9662,0.000062022,0.000929205
albuqureque,1,1,0.000033455,0.000189906
mazurkas,1,164,0.000001955,0.000015645
dhod,1,1,0.000001956,0.000005308
bisbyes,1,17,0.000001886,0.000003353
casinomeister,1,8,0.000001956,0.000003702
applicationn,1,3,0.000001956,0.000002374
himalaya,1,846,0.000004260,0.000056224
locorum,1,8,0.000003771,0.000015366
w140,1,36,0.000001886,0.000004680
skiding,1,1781,0.000007682,0.000148349
heth,1,39,0.000006216,0.000031290
baisers,1,56,0.000002304,0.000006147
debeauvoir,1,27,0.000002375,0.000006286
bbd,1,464,0.000003353,0.000030522
terezin,1,14,0.000002934,0.000009918
lesonal,1,2,0.000001397,0.000003353
phoones,1,18,0.000001956,0.000003772
grapho,1,12,0.000001886,0.000003283
bedskirt,1,76,0.000002445,0.000006217
espirit,1,104,0.000002445,0.000010406
coarse,1,2229,0.000010128,0.000191791
pumpkings,1,1,0.000006635,0.000038554
mediacrazy,1,3,0.000001397,0.000003352
trucktoys4less,1,1,0.000000978,0.000002863
theotokos,1,43,0.000001886,0.000005657
teevee,1,6,0.000001955,0.000003422
niazi,1,22,0.000001885,0.000004261
individual,1,93636,0.001416717,0.014695257
olivea,1,1,0.001779486,0.004175766
distrbuted,1,3,0.000002374,0.000008242
kilobar,1,3,0.000001885,0.000004191
meldoy,1,1,0.000001467,0.000002864
anthropocentric,1,30,0.000002375,0.000009219
coades,1,215,0.000002934,0.000020185
semiotics,1,410,0.000003772,0.000041766
downtheline,1,1,0.000002375,0.000010476
ablack,1,5,0.000001885,0.000003353
bellomo,1,4,0.000001885,0.000003423
mb23,1,3,0.000001956,0.000003841
belgrano,1,57,0.000001815,0.000005797
letterboxes,1,988,0.000005239,0.000056783
cabbit,1,2,0.000004400,0.000015645
healthsystem,1,7,0.000001886,0.000004261
nightrunner,1,1,0.000001397,0.000003213
biometrics,1,1283,0.000006146,0.000114684
just4,1,1,0.000005657,0.000030382
scot,1,6065,0.000045678,0.000608341
greenberger,1,22,0.000018649,0.000135568
shabbar,1,2,0.000001466,0.000006077
