k,overlap_pagerank,overlap_bfs
1,0.0000,0.0000
2,0.0000,0.0000
3,0.0000,0.0000
4,0.0000,0.0000
5,0.0000,0.0000
6,0.0000,0.0000
7,0.0000,14.2857
8,0.0000,12.5000
9,0.0000,11.1111
10,0.0000,10.0000
11,0.0000,18.1818
12,0.0000,25.0000
13,7.6923,30.7692
14,7.1429,35.7143
15,13.3333,33.3333
16,18.7500,37.5000
17,23.5294,41.1765
18,27.7778,50.0000
19,36.8421,57.8947
20,45.0000,65.0000
21,52.3810,61.9048
22,59.0909,63.6364
23,65.2174,65.2174
24,70.8333,70.8333
25,76.0000,76.0000
26,80.7692,80.7692
27,85.1852,81.4815
28,89.2857,85.7143
29,93.1034,89.6552
30,96.6667,93.3333
31,100.0000,96.7742
32,96.8750,96.8750
33,93.9394,93.9394
34,91.1765,91.1765
35,88.5714,88.5714
36,86.1111,86.1111
37,83.7838,83.7838
38,84.2105,81.5789
39,87.1795,79.4872
40,87.5000,77.5000
41,90.2439,80.4878
42,92.8571,83.3333
43,95.3488,86.0465
44,97.7273,88.6364
45,97.7778,91.1111
46,97.8261,91.3043
47,97.8723,91.4894
48,97.9167,93.7500
49,97.9592,93.8776
50,98.0000,94.0000
51,96.0784,92.1569
52,96.1538,90.3846
53,96.2264,90.5660
54,96.2963,90.7407
55,94.5455,90.9091
56,94.6429,89.2857
57,94.7368,87.7193
58,93.1034,86.2069
59,91.5254,84.7458
60,90.0000,83.3333
61,88.5246,81.9672
62,87.0968,80.6452
63,85.7143,79.3651
64,84.3750,78.1250
65,83.0769,76.9231
66,81.8182,75.7576
67,80.5970,74.6269
68,79.4118,73.5294
69,78.2609,72.4638
70,77.1429,71.4286
71,76.0563,70.4225
72,75.0000,69.4444
73,73.9726,68.4932
74,72.9730,67.5676
75,73.3333,66.6667
76,73.6842,65.7895
77,74.0260,64.9351
78,73.0769,64.1026
79,72.1519,63.2911
80,71.2500,62.5000
81,70.3704,61.7284
82,69.5122,60.9756
83,68.6747,60.2410
84,67.8571,59.5238
85,68.2353,58.8235
86,68.6047,59.3023
87,67.8161,59.7701
88,67.0455,60.2273
89,66.2921,60.6742
90,65.5556,60.0000
91,64.8352,59.3407
92,64.1304,58.6957
93,63.4409,58.0645
94,62.7660,58.5106
95,62.1053,58.9474
96,61.4583,59.3750
97,60.8247,59.7938
98,60.2041,60.2041
99,59.5960,60.6061
100,59.0000,61.0000
101,58.4158,61.3861
102,58.8235,61.7647
103,59.2233,62.1359
104,59.6154,62.5000
105,60.0000,62.8571
106,60.3774,63.2075
107,60.7477,63.5514
108,61.1111,63.8889
109,61.4679,64.2202
110,61.8182,64.5455
111,62.1622,64.8649
112,62.5000,65.1786
113,62.8319,65.4867
114,63.1579,65.7895
115,63.4783,66.0870
116,63.7931,66.3793
117,64.1026,66.6667
118,64.4068,66.9492
119,65.5462,67.2269
120,66.6667,68.3333
121,67.7686,68.5950
122,68.8525,68.8525
123,69.9187,69.9187
124,70.1613,70.1613
125,70.4000,70.4000
126,71.4286,70.6349
127,72.4409,70.8661
128,72.6562,71.0938
129,72.8682,71.3178
130,73.0769,71.5385
131,73.2824,71.7557
132,73.4848,71.9697
133,73.6842,72.1805
134,73.8806,72.3881
135,74.0741,72.5926
